textDisplay,likeCount,remove_user,cleaning,tokenized_Content
"Kapan yah indo bikin anime isekai terus ke majapahit, gatotkaca, dll",0.0,"Kapan yah indo bikin anime isekai terus ke majapahit, gatotkaca, dll",Kapan yah indo bikin anime isekai terus ke majapahit gatotkaca dll,"['""Kapan""', '""yah""', '""indo""', '""bikin""', '""anime""', '""isekai""', '""terus""', '""ke""', '""majapahit""', '"",""', '""gatotkaca""', '"",""', '""dll""']"
Naniii??!,0.0,Naniii??!,Naniii ,"['""Naniii""', '""?""', '""?""', '""!""']"
"minjem 30rb dikirimin 1,5jeti",1.0,"minjem 30rb dikirimin 1,5jeti",minjem rb dikirimin jeti,"['""minjem""', '""30rb""', '""dikirimin""', '""1,5jeti""']"
wibuu,0.0,wibuu,wibuu,"['""wibuu""']"
Ditunggu kartu atm gambar animek nya,1.0,Ditunggu kartu atm gambar animek nya,Ditunggu kartu atm gambar animek nya,"['""Ditunggu""', '""kartu""', '""atm""', '""gambar""', '""animek""', '""nya""']"
Marjan menyala dengan CGI nya Bank BRI memasak dengan animasinya ❤🔥,0.0,Marjan menyala dengan CGI nya Bank BRI memasak dengan animasinya ❤🔥,Marjan menyala dengan CGI nya Bank BRI memasak dengan animasinya ,"['""Marjan""', '""menyala""', '""dengan""', '""CGI""', '""nya""', '""Bank""', '""BRI""', '""memasak""', '""dengan""', '""animasinya""', '""❤🔥""']"
BNI --&gt; Bank Nichijou Indonesia,1.0,BNI --&gt; Bank Nichijou Indonesia,BNI gt Bank Nichijou Indonesia,"['""BNI""', '""--""', '""&""', '""gt""', '"";""', '""Bank""', '""Nichijou""', '""Indonesia""']"
jirr,0.0,jirr,jirr,"['""jirr""']"
Mulai sekarang gua pindah haluan ke BNI 🔥🔥,0.0,Mulai sekarang gua pindah haluan ke BNI 🔥🔥,Mulai sekarang gua pindah haluan ke BNI ,"['""Mulai""', '""sekarang""', '""gua""', '""pindah""', '""haluan""', '""ke""', '""BNI""', '""🔥🔥""']"
"Keren banget sih ini, visi iklan yang sangat bagus, team marketingnya wibu kah ini ?  <a href=""UCkszU2WH9gy1mb0dV-11UJg/xsIfY4OqCd2T29sP54iAsAw""></a>",0.0,"Keren banget sih ini, visi iklan yang sangat bagus, team marketingnya wibu kah ini ?  <a href=""UCkszU2WH9gy1mb0dV-11UJg/xsIfY4OqCd2T29sP54iAsAw""></a>",Keren banget sih ini visi iklan yang sangat bagus team marketingnya wibu kah ini a href UCkszU WH gy mb dV UJg xsIfY OqCd T sP iAsAw a ,"['""Keren""', '""banget""', '""sih""', '""ini""', '"",""', '""visi""', '""iklan""', '""yang""', '""sangat""', '""bagus""', '"",""', '""team""', '""marketingnya""', '""wibu""', '""kah""', '""ini""', '""?""', '""<""', '""a""', '""href=""', '""\'\'""', '""UCkszU2WH9gy1mb0dV-11UJg/xsIfY4OqCd2T29sP54iAsAw""', '""\'\'""', '"">""', '""<""', '""/a""', '"">""']"
Ooohh maaay gaaaahhh,0.0,Ooohh maaay gaaaahhh,Ooohh maaay gaaaahhh,"['""Ooohh""', '""maaay""', '""gaaaahhh""']"
Moga aja kaya iklan Marjan yang ada sambungan nya,0.0,Moga aja kaya iklan Marjan yang ada sambungan nya,Moga aja kaya iklan Marjan yang ada sambungan nya,"['""Moga""', '""aja""', '""kaya""', '""iklan""', '""Marjan""', '""yang""', '""ada""', '""sambungan""', '""nya""']"
"Bagus banget konsepnya! Good job, BNI!",0.0,"Bagus banget konsepnya! Good job, BNI!",Bagus banget konsepnya Good job BNI ,"['""Bagus""', '""banget""', '""konsepnya""', '""!""', '""Good""', '""job""', '"",""', '""BNI""', '""!""']"
MyBCA kapan yah? 🗿,0.0,MyBCA kapan yah? 🗿,MyBCA kapan yah ,"['""MyBCA""', '""kapan""', '""yah""', '""?""', '""🗿""']"
Keren BNI🩷,0.0,Keren BNI🩷,Keren BNI ,"['""Keren""', '""BNI\U0001fa77""']"
Yaa.... Menurut pribadi sih voice nya agak masih kaku lah ya,0.0,Yaa.... Menurut pribadi sih voice nya agak masih kaku lah ya,Yaa Menurut pribadi sih voice nya agak masih kaku lah ya,"['""Yaa""', '""....""', '""Menurut""', '""pribadi""', '""sih""', '""voice""', '""nya""', '""agak""', '""masih""', '""kaku""', '""lah""', '""ya""']"
Relate sih ama generasi sekarang yg gengsian klo emak gw mah dikurangin aja &quot;yg ini gk jdi mba&quot; wkwkwkwk,0.0,Relate sih ama generasi sekarang yg gengsian klo emak gw mah dikurangin aja &quot;yg ini gk jdi mba&quot; wkwkwkwk,Relate sih ama generasi sekarang yg gengsian klo emak gw mah dikurangin aja quot yg ini gk jdi mba quot wkwkwkwk,"['""Relate""', '""sih""', '""ama""', '""generasi""', '""sekarang""', '""yg""', '""gengsian""', '""klo""', '""emak""', '""gw""', '""mah""', '""dikurangin""', '""aja""', '""&""', '""quot""', '"";""', '""yg""', '""ini""', '""gk""', '""jdi""', '""mba""', '""&""', '""quot""', '"";""', '""wkwkwkwk""']"
WHYYY,0.0,WHYYY,WHYYY,"['""WHYYY""']"
ara ara.. omoshiroi 🤣,0.0,ara ara.. omoshiroi 🤣,ara ara omoshiroi ,"['""ara""', '""ara""', '""..""', '""omoshiroi""', '""🤣""']"
"<a href=""https://www.youtube.com/watch?v=GPR7sTZUBMI&amp;t=146"">2:26</a> Jyu-man Rupiah 😅. Btw Voice Actor nya siapa yaa apa gk mahal tuh kalo seiyu nya asli orang jepang",0.0,"<a href=""https://www.youtube.com/watch?v=GPR7sTZUBMI&amp;t=146"">2:26</a> Jyu-man Rupiah 😅. Btw Voice Actor nya siapa yaa apa gk mahal tuh kalo seiyu nya asli orang jepang", a href Jyu man Rupiah Btw Voice Actor nya siapa yaa apa gk mahal tuh kalo seiyu nya asli orang jepang,"['""<""', '""a""', '""href=""', '""\'\'""', '""https""', '"":""', '""//www.youtube.com/watch""', '""?""', '""v=GPR7sTZUBMI""', '""&""', '""amp""', '"";""', '""t=146""', '""\'\'""', '"">""', '""2:26""', '""<""', '""/a""', '"">""', '""Jyu-man""', '""Rupiah""', '""😅""', '"".""', '""Btw""', '""Voice""', '""Actor""', '""nya""', '""siapa""', '""yaa""', '""apa""', '""gk""', '""mahal""', '""tuh""', '""kalo""', '""seiyu""', '""nya""', '""asli""', '""orang""', '""jepang""']"
"Santai aja ga sih, kalo masalah budget keknya ga perlu di pikirin mengingat request nya ini dari salah satu bank besar di Indonesia😂.",1.0,"Santai aja ga sih, kalo masalah budget keknya ga perlu di pikirin mengingat request nya ini dari salah satu bank besar di Indonesia😂.",Santai aja ga sih kalo masalah budget keknya ga perlu di pikirin mengingat request nya ini dari salah satu bank besar di Indonesia ,"['""Santai""', '""aja""', '""ga""', '""sih""', '"",""', '""kalo""', '""masalah""', '""budget""', '""keknya""', '""ga""', '""perlu""', '""di""', '""pikirin""', '""mengingat""', '""request""', '""nya""', '""ini""', '""dari""', '""salah""', '""satu""', '""bank""', '""besar""', '""di""', '""Indonesia😂""', '"".""']"
@KouAlwaysSmile  Iya sih mungkin bayar VA nya udh cukup pake uang berbunga dari masyarakat 😅,1.0,  Iya sih mungkin bayar VA nya udh cukup pake uang berbunga dari masyarakat 😅, Iya sih mungkin bayar VA nya udh cukup pake uang berbunga dari masyarakat ,"['""@""', '""KouAlwaysSmile""', '""Iya""', '""sih""', '""mungkin""', '""bayar""', '""VA""', '""nya""', '""udh""', '""cukup""', '""pake""', '""uang""', '""berbunga""', '""dari""', '""masyarakat""', '""😅""']"
Bejir gw kira anime beneran ternyata iklan gg min,0.0,Bejir gw kira anime beneran ternyata iklan gg min,Bejir gw kira anime beneran ternyata iklan gg min,"['""Bejir""', '""gw""', '""kira""', '""anime""', '""beneran""', '""ternyata""', '""iklan""', '""gg""', '""min""']"
"Buatin anime slice of life pliss, animasinya mantep bangetttt",0.0,"Buatin anime slice of life pliss, animasinya mantep bangetttt",Buatin anime slice of life pliss animasinya mantep bangetttt,"['""Buatin""', '""anime""', '""slice""', '""of""', '""life""', '""pliss""', '"",""', '""animasinya""', '""mantep""', '""bangetttt""']"
wih anime🗿,0.0,wih anime🗿,wih anime ,"['""wih""', '""anime🗿""']"
No wayyyyy let&#39;s him cook,0.0,No wayyyyy let&#39;s him cook,No wayyyyy lets him cook,"['""No""', '""wayyyyy""', '""let""', '""&""', '""#""', '""39""', '"";""', '""s""', '""him""', '""cook""']"
Nichijou vibes 🔥🔥🔥,1.0,Nichijou vibes 🔥🔥🔥,Nichijou vibes ,"['""Nichijou""', '""vibes""', '""🔥🔥🔥""']"
Walaupun cuman iklan tapi menghibur banget klo iklan begini pasti seru😁,0.0,Walaupun cuman iklan tapi menghibur banget klo iklan begini pasti seru😁,Walaupun cuman iklan tapi menghibur banget klo iklan begini pasti seru ,"['""Walaupun""', '""cuman""', '""iklan""', '""tapi""', '""menghibur""', '""banget""', '""klo""', '""iklan""', '""begini""', '""pasti""', '""seru😁""']"
"<a href=""https://www.youtube.com/watch?v=GPR7sTZUBMI&amp;t=81"">1:21</a> Mei: santai dulu gak seehh😊<br>Bu kasir: Hoo Mukatekanu No ka?<br>Also Bu Kasir: ORAORAORAORAORAORA",12.0,"<a href=""https://www.youtube.com/watch?v=GPR7sTZUBMI&amp;t=81"">1:21</a> Mei: santai dulu gak seehh😊<br>Bu kasir: Hoo Mukatekanu No ka?<br>Also Bu Kasir: ORAORAORAORAORAORA", a href Mei santai dulu gak seehh Bu kasir Hoo Mukatekanu No ka Also Bu Kasir ORAORAORAORAORAORA,"['""<""', '""a""', '""href=""', '""\'\'""', '""https""', '"":""', '""//www.youtube.com/watch""', '""?""', '""v=GPR7sTZUBMI""', '""&""', '""amp""', '"";""', '""t=81""', '""\'\'""', '"">""', '""1:21""', '""<""', '""/a""', '"">""', '""Mei""', '"":""', '""santai""', '""dulu""', '""gak""', '""seehh😊""', '""<""', '""br""', '"">""', '""Bu""', '""kasir""', '"":""', '""Hoo""', '""Mukatekanu""', '""No""', '""ka""', '""?""', '""<""', '""br""', '"">""', '""Also""', '""Bu""', '""Kasir""', '"":""', '""ORAORAORAORAORAORA""']"
ni anime ada berapa season ya? Pengen nunggu tamat aja baru nonton semua hehe,0.0,ni anime ada berapa season ya? Pengen nunggu tamat aja baru nonton semua hehe,ni anime ada berapa season ya Pengen nunggu tamat aja baru nonton semua hehe,"['""ni""', '""anime""', '""ada""', '""berapa""', '""season""', '""ya""', '""?""', '""Pengen""', '""nunggu""', '""tamat""', '""aja""', '""baru""', '""nonton""', '""semua""', '""hehe""']"
Ehhh Kurangggg !! Lagiii eps selanjutnya manaa 😱,0.0,Ehhh Kurangggg !! Lagiii eps selanjutnya manaa 😱,Ehhh Kurangggg Lagiii eps selanjutnya manaa ,"['""Ehhh""', '""Kurangggg""', '""!""', '""!""', '""Lagiii""', '""eps""', '""selanjutnya""', '""manaa""', '""😱""']"
Admin mau tanya apa bedanya dengan aplikasi BNI mobil yang sekarang aku pakai 🤔,0.0,Admin mau tanya apa bedanya dengan aplikasi BNI mobil yang sekarang aku pakai 🤔,Admin mau tanya apa bedanya dengan aplikasi BNI mobil yang sekarang aku pakai ,"['""Admin""', '""mau""', '""tanya""', '""apa""', '""bedanya""', '""dengan""', '""aplikasi""', '""BNI""', '""mobil""', '""yang""', '""sekarang""', '""aku""', '""pakai""', '""🤔""']"
Tetap membuat animasi walaupun zaman di gembur Ai,0.0,Tetap membuat animasi walaupun zaman di gembur Ai,Tetap membuat animasi walaupun zaman di gembur Ai,"['""Tetap""', '""membuat""', '""animasi""', '""walaupun""', '""zaman""', '""di""', '""gembur""', '""Ai""']"
Indonesia ketika di jajah Jepang :,0.0,Indonesia ketika di jajah Jepang :,Indonesia ketika di jajah Jepang ,"['""Indonesia""', '""ketika""', '""di""', '""jajah""', '""Jepang""', '"":""']"
"Animasinya 11/12 anam Nichijou, dan Komedi nya dapet bet anjir. 💯💯💯💯",0.0,"Animasinya 11/12 anam Nichijou, dan Komedi nya dapet bet anjir. 💯💯💯💯",Animasinya anam Nichijou dan Komedi nya dapet bet anjir ,"['""Animasinya""', '""11/12""', '""anam""', '""Nichijou""', '"",""', '""dan""', '""Komedi""', '""nya""', '""dapet""', '""bet""', '""anjir""', '"".""', '""💯💯💯💯""']"
Hehehee❤❤😊,0.0,Hehehee❤❤😊,Hehehee ,"['""Hehehee❤❤😊""']"
Waw 😮,0.0,Waw 😮,Waw ,"['""Waw""', '""😮""']"
Baru kali ini liat BANK BNI bikin iklan seniat ini😂,0.0,Baru kali ini liat BANK BNI bikin iklan seniat ini😂,Baru kali ini liat BANK BNI bikin iklan seniat ini ,"['""Baru""', '""kali""', '""ini""', '""liat""', '""BANK""', '""BNI""', '""bikin""', '""iklan""', '""seniat""', '""ini😂""']"
king,0.0,king,king,"['""king""']"
mantaap! jadi pengen buka rekening bni 😆,0.0,mantaap! jadi pengen buka rekening bni 😆,mantaap jadi pengen buka rekening bni ,"['""mantaap""', '""!""', '""jadi""', '""pengen""', '""buka""', '""rekening""', '""bni""', '""😆""']"
Apa kabar blue lock S2,0.0,Apa kabar blue lock S2,Apa kabar blue lock S ,"['""Apa""', '""kabar""', '""blue""', '""lock""', '""S2""']"
&quot;Uhuhuhuhahahahahahahahaha&quot;,0.0,&quot;Uhuhuhuhahahahahahahahaha&quot;, quot Uhuhuhuhahahahahahahahaha quot ,"['""&""', '""quot""', '"";""', '""Uhuhuhuhahahahahahahahaha""', '""&""', '""quot""', '"";""']"
Asked for Rp30.000 and get send Rp1.500.000 instead is the realest grandparent moment.,1.0,Asked for Rp30.000 and get send Rp1.500.000 instead is the realest grandparent moment.,Asked for Rp and get send Rp instead is the realest grandparent moment ,"['""Asked""', '""for""', '""Rp30.000""', '""and""', '""get""', '""send""', '""Rp1.500.000""', '""instead""', '""is""', '""the""', '""realest""', '""grandparent""', '""moment""', '"".""']"
Aku untungnya pake BNI😅,1.0,Aku untungnya pake BNI😅,Aku untungnya pake BNI ,"['""Aku""', '""untungnya""', '""pake""', '""BNI😅""']"
Mantap sih perpaduan nuansa indonesia dengan dubbing bahasa jepang dan animasi jepang,0.0,Mantap sih perpaduan nuansa indonesia dengan dubbing bahasa jepang dan animasi jepang,Mantap sih perpaduan nuansa indonesia dengan dubbing bahasa jepang dan animasi jepang,"['""Mantap""', '""sih""', '""perpaduan""', '""nuansa""', '""indonesia""', '""dengan""', '""dubbing""', '""bahasa""', '""jepang""', '""dan""', '""animasi""', '""jepang""']"
alamak peristiwa apa lagi ini😱,0.0,alamak peristiwa apa lagi ini😱,alamak peristiwa apa lagi ini ,"['""alamak""', '""peristiwa""', '""apa""', '""lagi""', '""ini😱""']"
This needs a full anime season!,0.0,This needs a full anime season!,This needs a full anime season ,"['""This""', '""needs""', '""a""', '""full""', '""anime""', '""season""', '""!""']"
Yang isi suaranya Mei itu Ema!<br>Baru tahu.<br>Ota-chan juga diisi suaranya ama Ema.,2.0,Yang isi suaranya Mei itu Ema!<br>Baru tahu.<br>Ota-chan juga diisi suaranya ama Ema.,Yang isi suaranya Mei itu Ema Baru tahu Ota chan juga diisi suaranya ama Ema ,"['""Yang""', '""isi""', '""suaranya""', '""Mei""', '""itu""', '""Ema""', '""!""', '""<""', '""br""', '"">""', '""Baru""', '""tahu.""', '""<""', '""br""', '"">""', '""Ota-chan""', '""juga""', '""diisi""', '""suaranya""', '""ama""', '""Ema""', '"".""']"
Semua akan anime pada waktunya🗣️,0.0,Semua akan anime pada waktunya🗣️,Semua akan anime pada waktunya ,"['""Semua""', '""akan""', '""anime""', '""pada""', '""waktunya🗣️""']"
"<a href=""https://www.youtube.com/watch?v=GPR7sTZUBMI&amp;t=131"">2:11</a> animasinya lebih bagus dri vs u20 match dul",6.0,"<a href=""https://www.youtube.com/watch?v=GPR7sTZUBMI&amp;t=131"">2:11</a> animasinya lebih bagus dri vs u20 match dul", a href animasinya lebih bagus dri vs u match dul,"['""<""', '""a""', '""href=""', '""\'\'""', '""https""', '"":""', '""//www.youtube.com/watch""', '""?""', '""v=GPR7sTZUBMI""', '""&""', '""amp""', '"";""', '""t=131""', '""\'\'""', '"">""', '""2:11""', '""<""', '""/a""', '"">""', '""animasinya""', '""lebih""', '""bagus""', '""dri""', '""vs""', '""u20""', '""match""', '""dul""']"
infoin wa nya si kakek 🗿🗿🗿,0.0,infoin wa nya si kakek 🗿🗿🗿,infoin wa nya si kakek ,"['""infoin""', '""wa""', '""nya""', '""si""', '""kakek""', '""🗿🗿🗿""']"
Best,0.0,Best,Best,"['""Best""']"
Nahhh LET BNI COOK 🔥💀,1.0,Nahhh LET BNI COOK 🔥💀,Nahhh LET BNI COOK ,"['""Nahhh""', '""LET""', '""BNI""', '""COOK""', '""🔥💀""']"
Indonesia ketika masih dijajah Jepang,0.0,Indonesia ketika masih dijajah Jepang,Indonesia ketika masih dijajah Jepang,"['""Indonesia""', '""ketika""', '""masih""', '""dijajah""', '""Jepang""']"
Dong0,2.0,Dong0,Dong ,"['""Dong0""']"
"Nggak jadi gini bang, malah jadi budak😂<br><br><br>Kau cuma Liat baiknya, bukan buruknya",1.0,"Nggak jadi gini bang, malah jadi budak😂<br><br><br>Kau cuma Liat baiknya, bukan buruknya",Nggak jadi gini bang malah jadi budak Kau cuma Liat baiknya bukan buruknya,"['""Nggak""', '""jadi""', '""gini""', '""bang""', '"",""', '""malah""', '""jadi""', '""budak😂""', '""<""', '""br""', '"">""', '""<""', '""br""', '"">""', '""<""', '""br""', '"">""', '""Kau""', '""cuma""', '""Liat""', '""baiknya""', '"",""', '""bukan""', '""buruknya""']"
Mat1 aja lo dek,1.0,Mat1 aja lo dek,Mat aja lo dek,"['""Mat1""', '""aja""', '""lo""', '""dek""']"
"@@UltimaRevolver549 Sama penjajah kok bangga, sampai nyumpahin mati orang dari bangsa sendiri",0.0,"UltimaRevolver549 Sama penjajah kok bangga, sampai nyumpahin mati orang dari bangsa sendiri",UltimaRevolver Sama penjajah kok bangga sampai nyumpahin mati orang dari bangsa sendiri,"['""@""', '""@""', '""UltimaRevolver549""', '""Sama""', '""penjajah""', '""kok""', '""bangga""', '"",""', '""sampai""', '""nyumpahin""', '""mati""', '""orang""', '""dari""', '""bangsa""', '""sendiri""']"
"@@fanceyfox9725 orang yg ngga membawa keuntungan atau orang yg ngga bisa diajak kerjasama sama Nippon yg jadi budak.<br><br>Tapi kalo orang yg bekerjasama dengan Nippon demi keuntungan Nippon, ya hidup normal",0.0,"fanceyfox9725 orang yg ngga membawa keuntungan atau orang yg ngga bisa diajak kerjasama sama Nippon yg jadi budak.<br><br>Tapi kalo orang yg bekerjasama dengan Nippon demi keuntungan Nippon, ya hidup normal",fanceyfox orang yg ngga membawa keuntungan atau orang yg ngga bisa diajak kerjasama sama Nippon yg jadi budak Tapi kalo orang yg bekerjasama dengan Nippon demi keuntungan Nippon ya hidup normal,"['""@""', '""@""', '""fanceyfox9725""', '""orang""', '""yg""', '""ngga""', '""membawa""', '""keuntungan""', '""atau""', '""orang""', '""yg""', '""ngga""', '""bisa""', '""diajak""', '""kerjasama""', '""sama""', '""Nippon""', '""yg""', '""jadi""', '""budak.""', '""<""', '""br""', '"">""', '""<""', '""br""', '"">""', '""Tapi""', '""kalo""', '""orang""', '""yg""', '""bekerjasama""', '""dengan""', '""Nippon""', '""demi""', '""keuntungan""', '""Nippon""', '"",""', '""ya""', '""hidup""', '""normal""']"
BANK BINI MEMASAK,0.0,BANK BINI MEMASAK,BANK BINI MEMASAK,"['""BANK""', '""BINI""', '""MEMASAK""']"
POKOKNYA HARUS ADA SERIES ANJIRRRRR<br><br>BEDA BGT YA SAMA ANINASI 3D YANG DIBUAT 300 ANIMATOR,2.0,POKOKNYA HARUS ADA SERIES ANJIRRRRR<br><br>BEDA BGT YA SAMA ANINASI 3D YANG DIBUAT 300 ANIMATOR,POKOKNYA HARUS ADA SERIES ANJIRRRRRBEDA BGT YA SAMA ANINASI D YANG DIBUAT ANIMATOR,"['""POKOKNYA""', '""HARUS""', '""ADA""', '""SERIES""', '""ANJIRRRRR""', '""<""', '""br""', '"">""', '""<""', '""br""', '"">""', '""BEDA""', '""BGT""', '""YA""', '""SAMA""', '""ANINASI""', '""3D""', '""YANG""', '""DIBUAT""', '""300""', '""ANIMATOR""']"
"Ini episode 1 menurut studionya. Artinya, masih ada lagi.",1.0,"Ini episode 1 menurut studionya. Artinya, masih ada lagi.",Ini episode menurut studionya Artinya masih ada lagi ,"['""Ini""', '""episode""', '""1""', '""menurut""', '""studionya""', '"".""', '""Artinya""', '"",""', '""masih""', '""ada""', '""lagi""', '"".""']"
@ozgoldebronokia8210  YESSSSSSSS,1.0,  YESSSSSSSS, YESSSSSSSS,"['""@""', '""ozgoldebronokia8210""', '""YESSSSSSSS""']"
"Appreciate buat BNI Wondr,<br><br>Tadi sebel karena applikasi BNI tahun kmaren sangat sulit, ini jadi semangat lagi",18.0,"Appreciate buat BNI Wondr,<br><br>Tadi sebel karena applikasi BNI tahun kmaren sangat sulit, ini jadi semangat lagi",Appreciate buat BNI Wondr Tadi sebel karena applikasi BNI tahun kmaren sangat sulit ini jadi semangat lagi,"['""Appreciate""', '""buat""', '""BNI""', '""Wondr""', '"",""', '""<""', '""br""', '"">""', '""<""', '""br""', '"">""', '""Tadi""', '""sebel""', '""karena""', '""applikasi""', '""BNI""', '""tahun""', '""kmaren""', '""sangat""', '""sulit""', '"",""', '""ini""', '""jadi""', '""semangat""', '""lagi""']"
Smooth banget anime nya sama design karakter nya juga bagus,1.0,Smooth banget anime nya sama design karakter nya juga bagus,Smooth banget anime nya sama design karakter nya juga bagus,"['""Smooth""', '""banget""', '""anime""', '""nya""', '""sama""', '""design""', '""karakter""', '""nya""', '""juga""', '""bagus""']"
"semoga kedepan lebih bagus lagi, sumpah ini keren banget 😍",0.0,"semoga kedepan lebih bagus lagi, sumpah ini keren banget 😍",semoga kedepan lebih bagus lagi sumpah ini keren banget ,"['""semoga""', '""kedepan""', '""lebih""', '""bagus""', '""lagi""', '"",""', '""sumpah""', '""ini""', '""keren""', '""banget""', '""😍""']"
Keren banget,0.0,Keren banget,Keren banget,"['""Keren""', '""banget""']"
Bru aja gw buka rek mandiri cok 🗿,0.0,Bru aja gw buka rek mandiri cok 🗿,Bru aja gw buka rek mandiri cok ,"['""Bru""', '""aja""', '""gw""', '""buka""', '""rek""', '""mandiri""', '""cok""', '""🗿""']"
"Mantaaap BNI, Bank Nya Wibu Indonesia😂",0.0,"Mantaaap BNI, Bank Nya Wibu Indonesia😂",Mantaaap BNI Bank Nya Wibu Indonesia ,"['""Mantaaap""', '""BNI""', '"",""', '""Bank""', '""Nya""', '""Wibu""', '""Indonesia😂""']"
Gak Nyangka Bisa Sebagus Ini😂,0.0,Gak Nyangka Bisa Sebagus Ini😂,Gak Nyangka Bisa Sebagus Ini ,"['""Gak""', '""Nyangka""', '""Bisa""', '""Sebagus""', '""Ini😂""']"
Anjaayyyy kasirnya gegeh sekali 😂😂,0.0,Anjaayyyy kasirnya gegeh sekali 😂😂,Anjaayyyy kasirnya gegeh sekali ,"['""Anjaayyyy""', '""kasirnya""', '""gegeh""', '""sekali""', '""😂😂""']"
NICHIJOU AHH ANIMATION 🗣🗣🔥🔥🔥‼‼(Keep cooking Bank Nichijou Indonesia),1.0,NICHIJOU AHH ANIMATION 🗣🗣🔥🔥🔥‼‼(Keep cooking Bank Nichijou Indonesia),NICHIJOU AHH ANIMATION Keep cooking Bank Nichijou Indonesia ,"['""NICHIJOU""', '""AHH""', '""ANIMATION""', '""🗣🗣🔥🔥🔥‼‼""', '""(""', '""Keep""', '""cooking""', '""Bank""', '""Nichijou""', '""Indonesia""', '"")""']"
Awoakowkaowk Bank Nichijou Indonesia😂👑,3.0,Awoakowkaowk Bank Nichijou Indonesia😂👑,Awoakowkaowk Bank Nichijou Indonesia ,"['""Awoakowkaowk""', '""Bank""', '""Nichijou""', '""Indonesia😂👑""']"
Gak bisa berkata &quot; Lihat iklan ini🤯,2.0,Gak bisa berkata &quot; Lihat iklan ini🤯,Gak bisa berkata quot Lihat iklan ini ,"['""Gak""', '""bisa""', '""berkata""', '""&""', '""quot""', '"";""', '""Lihat""', '""iklan""', '""ini🤯""']"
bikin dub indo min,1.0,bikin dub indo min,bikin dub indo min,"['""bikin""', '""dub""', '""indo""', '""min""']"
"Kurang keknya bakalan, maaf dub yg bagus itu dub² lama kek spngebob lama sama Doraemon lama itu yg bagus mnurut saya",0.0,"Kurang keknya bakalan, maaf dub yg bagus itu dub² lama kek spngebob lama sama Doraemon lama itu yg bagus mnurut saya",Kurang keknya bakalan maaf dub yg bagus itu dub lama kek spngebob lama sama Doraemon lama itu yg bagus mnurut saya,"['""Kurang""', '""keknya""', '""bakalan""', '"",""', '""maaf""', '""dub""', '""yg""', '""bagus""', '""itu""', '""dub²""', '""lama""', '""kek""', '""spngebob""', '""lama""', '""sama""', '""Doraemon""', '""lama""', '""itu""', '""yg""', '""bagus""', '""mnurut""', '""saya""']"
Kurang dapet feelnya 😂,0.0,Kurang dapet feelnya 😂,Kurang dapet feelnya ,"['""Kurang""', '""dapet""', '""feelnya""', '""😂""']"
"​@@ohmazio9225 Dubber Indo animasi Disney bagus loh, seleksi ketat soalnya",0.0,"​ohmazio9225 Dubber Indo animasi Disney bagus loh, seleksi ketat soalnya", ohmazio Dubber Indo animasi Disney bagus loh seleksi ketat soalnya,"['""\u200b""', '""@""', '""@""', '""ohmazio9225""', '""Dubber""', '""Indo""', '""animasi""', '""Disney""', '""bagus""', '""loh""', '"",""', '""seleksi""', '""ketat""', '""soalnya""']"
BNI VS BMKG Gowa 🤣🤣🤣,1.0,BNI VS BMKG Gowa 🤣🤣🤣,BNI VS BMKG Gowa ,"['""BNI""', '""VS""', '""BMKG""', '""Gowa""', '""🤣🤣🤣""']"
"Kirain nicholijou, keren bni😂",1.0,"Kirain nicholijou, keren bni😂",Kirain nicholijou keren bni ,"['""Kirain""', '""nicholijou""', '"",""', '""keren""', '""bni😂""']"
"Pas nonton pertama d channel studiony kirain anime shorts dari studio JP, woilah ternyata iklan wondr BNI 😂 tp keren si konsepnya, semoga d bikin lanjutanny 😁",1.0,"Pas nonton pertama d channel studiony kirain anime shorts dari studio JP, woilah ternyata iklan wondr BNI 😂 tp keren si konsepnya, semoga d bikin lanjutanny 😁",Pas nonton pertama d channel studiony kirain anime shorts dari studio JP woilah ternyata iklan wondr BNI tp keren si konsepnya semoga d bikin lanjutanny ,"['""Pas""', '""nonton""', '""pertama""', '""d""', '""channel""', '""studiony""', '""kirain""', '""anime""', '""shorts""', '""dari""', '""studio""', '""JP""', '"",""', '""woilah""', '""ternyata""', '""iklan""', '""wondr""', '""BNI""', '""😂""', '""tp""', '""keren""', '""si""', '""konsepnya""', '"",""', '""semoga""', '""d""', '""bikin""', '""lanjutanny""', '""😁""']"
Bro BNI sedang memasak🤓,1.0,Bro BNI sedang memasak🤓,Bro BNI sedang memasak ,"['""Bro""', '""BNI""', '""sedang""', '""memasak🤓""']"
"Yang jadi pertanyaan, siapa pengisi suaranya??",0.0,"Yang jadi pertanyaan, siapa pengisi suaranya??",Yang jadi pertanyaan siapa pengisi suaranya ,"['""Yang""', '""jadi""', '""pertanyaan""', '"",""', '""siapa""', '""pengisi""', '""suaranya""', '""?""', '""?""']"
Njir tuh bintang kek kenal dah di anime clannad,0.0,Njir tuh bintang kek kenal dah di anime clannad,Njir tuh bintang kek kenal dah di anime clannad,"['""Njir""', '""tuh""', '""bintang""', '""kek""', '""kenal""', '""dah""', '""di""', '""anime""', '""clannad""']"
BNI sedang memasak 🫵🏼🥶✨👑✨,0.0,BNI sedang memasak 🫵🏼🥶✨👑✨,BNI sedang memasak ,"['""BNI""', '""sedang""', '""memasak""', '""\U0001faf5🏼🥶✨👑✨""']"
