textDisplay,likeCount,remove_user,cleaning,tokenized_Content
"Bank besar versi konvensional kena pajak bulanan, BNI Wondr pun kena pajak bulanan, mending BCA Blu atau BTPN Jenius gada pajak bulanan walaupun ada kartu Debit digital sama fisk, BNi Wondr iklannya keren tapi masih pajakin rakyat",0.0,"Bank besar versi konvensional kena pajak bulanan, BNI Wondr pun kena pajak bulanan, mending BCA Blu atau BTPN Jenius gada pajak bulanan walaupun ada kartu Debit digital sama fisk, BNi Wondr iklannya keren tapi masih pajakin rakyat",Bank besar versi konvensional kena pajak bulanan BNI Wondr pun kena pajak bulanan mending BCA Blu atau BTPN Jenius gada pajak bulanan walaupun ada kartu Debit digital sama fisk BNi Wondr iklannya keren tapi masih pajakin rakyat,"['""Bank""', '""besar""', '""versi""', '""konvensional""', '""kena""', '""pajak""', '""bulanan""', '"",""', '""BNI""', '""Wondr""', '""pun""', '""kena""', '""pajak""', '""bulanan""', '"",""', '""mending""', '""BCA""', '""Blu""', '""atau""', '""BTPN""', '""Jenius""', '""gada""', '""pajak""', '""bulanan""', '""walaupun""', '""ada""', '""kartu""', '""Debit""', '""digital""', '""sama""', '""fisk""', '"",""', '""BNi""', '""Wondr""', '""iklannya""', '""keren""', '""tapi""', '""masih""', '""pajakin""', '""rakyat""']"
nichijou fr,0.0,nichijou fr,nichijou fr,"['""nichijou""', '""fr""']"
🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥,0.0,🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥, ,"['""🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥""']"
"Sumpah, kualitasnya cuy BNI memasakk🔥🔥🔥☠️",0.0,"Sumpah, kualitasnya cuy BNI memasakk🔥🔥🔥☠️",Sumpah kualitasnya cuy BNI memasakk ,"['""Sumpah""', '"",""', '""kualitasnya""', '""cuy""', '""BNI""', '""memasakk🔥🔥🔥☠️""']"
Wkkwk kita butuh kakek seperti ini😂😂,0.0,Wkkwk kita butuh kakek seperti ini😂😂,Wkkwk kita butuh kakek seperti ini ,"['""Wkkwk""', '""kita""', '""butuh""', '""kakek""', '""seperti""', '""ini😂😂""']"
Absolute cinema✋😎✋🔥🔥🔥,0.0,Absolute cinema✋😎✋🔥🔥🔥,Absolute cinema ,"['""Absolute""', '""cinema✋😎✋🔥🔥🔥""']"
yo chat this is real?!,0.0,yo chat this is real?!,yo chat this is real ,"['""yo""', '""chat""', '""this""', '""is""', '""real""', '""?""', '""!""']"
BMKG : V-Tuber<br>BNI : Anime<br>Next apa dah?,0.0,BMKG : V-Tuber<br>BNI : Anime<br>Next apa dah?,BMKG V TuberBNI AnimeNext apa dah ,"['""BMKG""', '"":""', '""V-Tuber""', '""<""', '""br""', '"">""', '""BNI""', '"":""', '""Anime""', '""<""', '""br""', '"">""', '""Next""', '""apa""', '""dah""', '""?""']"
Begitu...,0.0,Begitu...,Begitu ,"['""Begitu""', '""...""']"
Bni x ottasan,0.0,Bni x ottasan,Bni x ottasan,"['""Bni""', '""x""', '""ottasan""']"
