publishedAt,authorDisplayName,textDisplay,likeCount
2024-11-26T12:58:36Z,@fdgamer2811,NAIKAN GAJI AUTHOR!!!!,2
2024-11-26T12:57:48Z,@WiastaAl-Farobi,Better than gembok biru,2
2024-11-26T12:47:15Z,@saibotx4308,Absolute cinema,2
2024-11-26T10:48:07Z,@kenans4009,"<a href=""https://www.youtube.com/watch?v=GPR7sTZUBMI&amp;t=154"">2:34</a> gw tau nih dari anime mana nih sedih nya🗿",2
2024-11-26T11:37:34Z,@andysanjaya2120,Anime apa?,0
2024-11-26T11:54:09Z,@kenans4009,@@andysanjaya2120 dukun baik,0
2024-11-26T10:22:46Z,@Thebaseguy,Kakek kayak pak seoharto,0
2024-11-26T09:23:13Z,@saadmiftahulhuda755,Aapaan gw nonton gini aja terharu kocak,0
2024-11-26T09:04:34Z,@yosua7016,Watashi namaewa Anthony El gassing,0
2024-11-26T07:50:06Z,@BambangIrawan-ol7ph,"Behh kakek penyelamat, ini Indonesia udh bisa bikin anime 😂😂",0
2024-11-25T14:45:48Z,@Raden-san,siapa sangka BNI sedang memasak 😱🔥🔥,2
2024-11-25T13:11:07Z,@yerobeam9140,BNI lebih cepat daripada anime Genshin 😂,0
2024-11-25T12:57:19Z,@aryaman5516,this is some insanity from BNI,0
2024-11-25T08:27:54Z,@Kitadayo,2011 kita dapet Indonesia reference di Nichijou.<br>2024 kita dapet Nichijou reference di anime Indonesia,0
2024-11-25T02:15:27Z,@andikaprayogi6541,"Kenapa yang kaya gini ga muncul di iklan, malah pinjol mulu pinjol mulu yang muncul",2
2024-11-24T15:01:21Z,@TauUNIV,Bolehkah saya ambil clip buat meme 😅,0
2024-11-24T13:15:05Z,@antonjunior9189,Juman rupiah 😂,0
2024-11-24T12:26:43Z,@muhamadiliyan8231,What a cinema😮,2
2024-11-24T11:26:04Z,@Denzi_23,Liat nggak kok aku liat sekilas di hp kakeknya ada ff?,0
2024-11-24T10:58:31Z,@YumiiiSerpentine,CUBANGETT,0
2024-11-24T00:39:12Z,@yalili-d2m,Anjir Keren Banget,0
2024-11-23T13:07:35Z,@createwater1733,lanjut bang sampe 12 episode tanggung 1 doang mah,4
2024-11-23T12:36:27Z,@kucingterbang6472,Dramatis sekali episode pertama ini😅,0
2024-11-23T10:59:03Z,@DaQwertMan,kita mendapatkan anime bni sebelum gta 6 🗣🗣🗣🔥🔥🔥,0
2024-11-23T05:12:52Z,@____saaaaal,siapa sangka,0
2024-11-23T04:47:18Z,@fhaisalidrismanurung4886,Eh y&#39;all ada yg tau ngak siapa pengisi suara di video ini soalnya gw ngak tau cok?,0
2024-11-23T04:14:58Z,@dearbliss9890,"Bank boleh dari Indonesia, tapi gak kaya presidenya saat kampanye kemarin mengglorifikasi AI. Meremehkan kualitas artis lokal😢",0
2024-11-22T20:43:12Z,@dylanhusand3134,Bagus sih klo ada orang indo bikin anime,0
2024-11-22T18:39:25Z,@Cathlynnn_.40,Kita memiliki anime BNI sebelum GTA 6🔥🔥🔥🔥🔥🔥,0
2024-11-22T13:51:39Z,@gogo3709,BNI (Bank Nichijou Indonesia)😂😂,2
2024-11-22T12:52:37Z,@bacalahnjir8017,BNI Memasak,0
2024-11-22T12:06:45Z,@GamerMangakaYudi98,"<a href=""https://www.youtube.com/watch?v=GPR7sTZUBMI&amp;t=245"">4:05</a> BNI is licensed and supervised by the Indonesia Financial Services Authority (OJK) and Bank Indonesia. BNI is a participant in the Deposit Insurance Corporation (LPS) guarantee.",2
2024-11-22T11:37:09Z,@Kai-Kairo,"Gelo min. Berani beda nih atmin, tampvan dan berani sekali dikala gempuran iklan ai, tapi atmin ini... menyala abangku🔥",0
2024-11-22T10:04:03Z,@Yusuf.noob_,Jangan biarkan mappa melihat ini,0
2024-11-22T06:43:51Z,@Cattolova,lucukkkkkkk,0
2024-11-22T06:20:25Z,@michzaelkaiser,even better than bluelock s2,3
2024-11-22T04:04:09Z,@RadityaAnwar-s8q,kalau membayar kasir silahkan menggunakan kartu atm bni,1
2024-11-22T02:00:52Z,@rwarinn,Me at animate,0
2024-11-21T14:27:43Z,@OiFlasher-q2r,bro this short bank anime is better than blue lock s2 animation 🗿,2
2024-11-21T14:24:58Z,@shaffiranuurfauziah6222,WKWK lucukkk 😂😂,0
2024-11-21T11:58:53Z,@sundijr6529,"<a href=""https://www.youtube.com/watch?v=GPR7sTZUBMI&amp;t=101"">1:41</a> ada yang tau sountrack nya gak?",0
2024-11-21T11:54:51Z,@Ren-Art,Alamak lengah dikit buat anime😭🙏,0
2024-11-21T10:46:24Z,@danangtrisetiabudi1671,Anime berkedok iklan🗿,0
2024-11-21T09:25:34Z,@asyroffirmanto4877,Yare yare😅,0
2024-11-21T08:11:09Z,@yogianjar2342,JUJUR ASELI KEREN 🗣️🔥🔥🔥,0
2024-11-21T07:59:44Z,@IfyyeSenpai,Woww BNI I like you🥰,0
2024-11-21T07:31:02Z,@G-163,え、映像の間延びがすげぇ･･･,5
2024-11-21T13:15:17Z,@RijaldinRijaldin,👍,1
2024-11-21T03:27:05Z,@adwiha,"Keren banget animasinya, gak kepikiran buat bikin animasi ber-episode aja min?😅",1
2024-11-20T14:15:56Z,@45perSembilan,Kerennnn,1
2024-11-20T14:11:05Z,@ariprabowo85,MATANE RAIMU!!!!<br><br>(Sampai jumpa lagi jeruk nipis!!!!),2
2024-11-20T11:53:20Z,@arifinbali3757,Siapa seiyu nya,1
2024-11-20T10:09:26Z,@Geuhfp4tp,"Menurut gw iklan yang dibikin BNI biasa aja kok heboh banget, btw kenapa seiyuunya malah orang jepang?? Gak sekalian aja jadi Bank Negara Nihon ( BNN ) 😂",2
2024-11-20T11:21:56Z,@UltimaRevolver549,Ini mah Bank Nihon Indonesia (BNI)🤓☝️,3
2024-11-20T13:48:27Z,@ggasyraf,minimal bangga kek setidaknya mereka tidak memakai AI kek iklan sebelah toh,11
2024-11-21T07:30:46Z,@Monica-ql3jn,Iklan apaan tuh yg pakai ai?​@@ggasyraf,0
2024-11-21T13:16:29Z,@thataverageguy826,"Bilang biasa saja, emang bisa bikin animasi kayak gini ente?",2
2024-11-21T13:27:44Z,@ZakiGemink,Gak tau mungkin target iklannya bukan untuk kamu?,0
2024-11-20T08:32:56Z,@ALL-o9b5y,Klazz,1
2024-11-20T07:49:11Z,@AdzimHere,KOK JADI DUB JEPANG,3
2024-11-20T06:00:14Z,@muhammadamin-kv1qh,"Krenn ,kreatif, inovatif...BNI memang selalu terdepan",2
2024-11-20T05:44:39Z,@ItzAzza_boyvers12,Ini anime atau iklan sih cakep bgttttt,3
2024-11-20T02:13:18Z,@arifinzagnes5696,sukak banget.... Keren,2
2024-11-20T01:45:26Z,@festirdcrtdvfgtcesackbhyha9859,Kawaii❤,3
2024-11-20T01:31:45Z,@Monamanullang,Animenya keren skali. Out of box. Inovasi terbaru by BNI,2
2024-11-20T00:54:05Z,@RayyanAlPlay,"Keren euyy, mantab BNI🎉🎉",1
2024-11-19T23:34:07Z,@bungahutagalung7442,Keren ih,1
2024-11-19T23:28:14Z,@fablochin6363,Enak lagi dub nya sekalian indo min,1
2024-11-19T23:24:56Z,@DioviaReal270,Bro kita memiliki iklan yg 🗣️🔥,0
2024-11-19T23:21:33Z,@a.like99,😊wih,1
2024-11-19T23:15:37Z,@rinoardiyanarmi,"Ngalamin minggu lalu perjalanan tol jkt - Karawang, ternyata saldo tapcash nya kurang, untung ada wondr BNI , top up tapcash lebih cepat dan ga sempet diklaksonin mobil lain yg antri dibelakang...",1
2024-11-19T21:11:56Z,@susisarmiyati4861,Keren animasinya. . Mantab bni,0
2024-11-19T17:09:06Z,@agusw.n68,Gw kira anime beneran,0
2024-11-19T16:14:13Z,@dylaanisa4579,"Mei sama Kakek aja pake wondr, yakali gue enggak 😆<br><br>Ditunggu series selanjutnya BNI 🔥",4
2024-11-19T15:10:38Z,@SuperErlanda,BUMN yg paling me-lokall... Sukses terus BNI,1
2024-11-19T15:06:47Z,@SuperErlanda,"Lucuuu bangetttt... Sukak deh pake wondr, arigato BNI",1
2024-11-19T15:03:12Z,@Miiiiauuuuuu,Tolong bni bikin s2 nya❤,0
2024-11-19T14:43:34Z,@viiiderekae,Kenapa dalam bahasa jepang ?,1
2024-11-22T05:24:13Z,@himenok9089,"Kan anime, baca lah itu komen yang di Pin",1
2024-11-19T14:28:16Z,@laelarizky5935,Plissss ini keren bgttt,0
2024-11-19T14:27:17Z,@apaajamungkin,GG,0
2024-11-19T14:21:58Z,@tatiachrisan4053,kawaiiiiii❤,1
2024-11-19T14:12:04Z,@prilymaulydia8878,Cute bgt anime ini .. berasa ntn kartun jepang or baca komik vibe nya ❤,1
2024-11-19T14:00:09Z,@Hermansyah-bt5tm,"Wondr by BNI ,Solusi Tepat Saat Darurat,,,<br>Tinggal Klik cuuuusssss<br>Semua Transaksi Jd Lebih Mudah,,,,<br>❤WONDR by BNI❤",0
2024-11-19T13:52:58Z,@yuanitadhiora3377,Kakekkk....kamu panutannn slalu memberi lebihhh,0
2024-11-19T13:43:05Z,@monapratiwi1592,"Kek, saya cucu kakek juga, saldo udah tipis nih Kek.. ❤😊",0
2024-11-19T13:39:16Z,@269_ryanadiyansyahputra5,BNI support kreativitas dalam negeri. 🎉,2
2024-11-19T13:28:59Z,@purwadi_wsb3396,Mantaaaap....lagsung gas download Wondr BNI ramai² yuk❤❤❤❤,1
2024-11-19T13:13:13Z,@Memperson,Wah keren nih,1
2024-11-19T13:05:22Z,@setomulyadikun,We got BNI anime before Genshin Anime 🔥🔥🔥🔥,1
2024-11-19T13:02:06Z,@arieandriyan903,Sudah sampe jepang aja.. keren,0
2024-11-19T12:59:30Z,@ilman32509,Kereeeennn,0
2024-11-19T12:36:49Z,@chelsynaura9151,Kerennnnn bangetttt sih ini ❤,0
2024-11-19T12:35:04Z,@INyomanAryaSuastika,Terbaik.. lah👍👍🔥,1
2024-11-19T12:34:00Z,@budirifansa,Ga ada obat ini mah...keren beut...🔥,0
2024-11-19T12:33:50Z,@TubagusIbrohimmovementproject,BNIME IS REAL 🔥,1
2024-11-19T12:33:29Z,@praptonurcahyo,Bagus,1
2024-11-19T12:33:00Z,@anisadwirachmawati9090,Keren bgt BNI,0
2024-11-19T12:32:47Z,@rinahutagalung9205,"Wondr luar biasaaaaa,",1
2024-11-19T12:31:45Z,@ariarthadewi5023,BNI kereeen ❤❤❤,0
2024-11-19T12:19:58Z,@yaningardhiyaningrum6188,Keren🎉,1
2024-11-19T12:18:19Z,@sigitsubiyanto9044,Mantap kale,0
2024-11-19T12:11:27Z,@markusbcc,Mantrap,0
2024-11-19T12:10:04Z,@fitrusjuventini,Kawaaii.. sugoii,0
2024-11-19T12:06:16Z,@dhiemasslo1541,❤❤❤❤❤❤❤,0
2024-11-19T12:05:19Z,@dhiemasslo1541,❤❤❤,0
2024-11-19T12:03:27Z,@habibray6575,Lucuuuuuu,0
2024-11-19T12:00:56Z,@agungbudi2102,Top,0
2024-11-19T11:42:55Z,@kategf1999,Kita mendapatkan anime BNI sebelum pencurian mobil 6,0
2024-11-19T11:37:38Z,@madaramaxanthonie5825,"Haduh ninchijou bener, w suka anime kayak gini",1
2024-11-19T11:20:07Z,@KatzuyaWatanabe,Bro sedang memasak<br>BNI (Bank Nichijou Indonesia),1
2024-11-19T11:03:30Z,@princeeriek,ada waifu baru nih,1
2024-11-19T10:13:44Z,@rifkifebruari2002,Bni mulai mengikuti bmkg🗿🗿,2
2024-11-19T10:03:06Z,@kolel1076,This short anime &gt;&gt;&gt;&gt; A whole blue lock episodes,2
2024-11-19T09:09:21Z,@omegalul_1,Thats some thick ass phone grandpa has,1
2024-11-19T08:47:36Z,@limsa_npc,langsung jadi nasabah bni gw jirr😂,1
2024-11-19T08:19:44Z,@Ishigami_千空5678,Baru kali ini lihat iklan sebetah ini,1
2024-11-19T07:59:41Z,@MuhammadNurYasinYasin,👍😀👍,2
2024-11-19T07:57:12Z,@javalaa,"Ga pake AI✅<br>Ga pake artis korea✅<br>Sumpah suka banget sama artwork nya, konsep nya juga udah kayak anime beneran, goodjob buat BNI dan artist nya, keren banget sumpah",54
2024-11-30T23:14:01Z,@Zjelli1,why not korean artists,1
2024-12-13T00:29:32Z,@Wahied_Rachman89,​@@Zjelli1Too mainstream,0
2024-12-13T03:38:57Z,@Zjelli1,​@@Wahied_Rachman89 huh? So? Its not like that changes the quality or anything,0
2024-11-19T07:32:14Z,@rabbitribbit578,"ketika corpo lain ngiklan pake AI, BNI komis anime original dari kreator dalam negeri 👌✨",7
2024-11-19T06:52:59Z,@HadiMaryadi56,Wjri aku ada dimana ini 🗿 c soalnya nyasar,0
2024-11-19T06:42:54Z,@bluee048,🔥,1
2024-11-19T01:25:41Z,@alghee1,Ini kita nga nonton iklan ini kita nobar anime🗿,3
2024-11-19T01:04:08Z,@adnanr1169,BNI : Bank Nichijou Indonesia 🔥,8
2024-11-19T00:51:31Z,@masrizalekayulianto2811,siapa yang membiarkan BNI memasak🔥,1
2024-11-18T22:38:58Z,@ardiwijaya7555,Keren🎉🎉🎉,1
2024-11-18T18:35:23Z,@AmitKrSarkar,Oh my my my my my my my my!,2
2024-11-18T16:14:20Z,@ksbwanimereaction,I need more <br>Easy best short anime<br>Thanks BNI,3
2024-11-18T14:49:54Z,@celotehpeneliti6018,"Emang tuh kakek Sugiono, minta 30k dikasi 15jt. Botaknya si kakek recall my deep memory, the legendary sugiono 😮",2
2024-11-19T01:45:37Z,@BeaconluzeXD,1.5 jt bang bukan 15 jt,0
2024-11-21T21:09:02Z,@KouAlwaysSmile,1.5jt itu,0
2024-11-18T14:09:04Z,@PPhhs-h3j,Waktunya menghujat genshin,1
2024-11-18T13:37:30Z,@muhadamdani,"Gue bro, udah 6 kali lebih balik terus tonton nih anime wkwkw",2
2024-11-18T12:56:02Z,@MasRayyan19,Not bad Indonesia!,1
2024-11-29T14:00:04Z,@UltimaRevolver549,Go away malonsia,1
2024-11-18T12:53:04Z,@TommyBellynWiryadi,We got Anime from a bank before GTA VI,1
2024-11-18T12:18:52Z,@keyzaaa-nana,lanjut min,1
2024-11-18T10:59:28Z,@iqbal57danuartaZN,"What an anime, this one was Indonesian comercial! But the dubbing were Japanese!?<br>Meh, much and very much too cook...",1
2024-11-18T10:21:37Z,@Andrian-yo3er,don&#39;t let rule 34 see this 😢,2
2024-11-18T13:12:23Z,@Jdoru,Too late,2
2024-11-19T08:22:46Z,@Andrian-yo3er,@Jdoru  what? 💀,0
2024-11-18T08:55:02Z,@eza_zold7947,Walah iklan mantap ini😂,1
2024-11-18T06:45:51Z,@justf1822,Anjay wok,1
2024-11-18T05:53:05Z,@Honokamv,Hold upp,1
2024-11-18T04:04:38Z,@hansedison1327,Still had to do a little bit work for the grammar to fit daily conversational Japanese but it&#39;s already far than better!,1
2024-11-18T04:03:26Z,@hansedison1327,Finally,0
2024-11-18T03:40:14Z,@abiyantogustorino4867,WoW 🤣,0
2024-11-18T02:26:28Z,@zeravch,kalo iklan begini mah gw tonton ampe abis jir keren bgt,6
2024-11-18T02:20:13Z,@Nickss27,saya kira ini nichijou anjirr,0
2024-11-18T01:28:19Z,@AkuNoMegami,What studio animated this?,2
2024-11-18T01:58:02Z,@centrocellofficial,floopy ani,0
2024-11-18T03:19:03Z,@alexanderabel3519,Ploopy Animation,1
2024-11-19T13:04:21Z,@UltimaRevolver549,Ploopy Animation,0
2024-11-18T01:01:51Z,@reinelgarret2796,To be continued!,1
2024-11-17T23:09:59Z,@dracknxa1412,Kita mendapat anime tentang bank bni sebelum gta 6🗣️🔥,0
2024-11-17T21:24:46Z,@abramfaisal2242,ini baru iklan bertema anime sejati hehehehe 😀,0
2024-11-17T18:50:40Z,@ArteMust,absolute cinema,0
2024-11-17T17:56:38Z,@akbarsamudra3293,Berasa nonton salah satu episode di nichijou😂,0
2024-11-17T16:13:46Z,@dgstoryy,hahhh? aku kira akun khusus anime gitu kaya muse indonesia.<br>TERNYATA BANK BNI. Jadi ke inget meme tentang disuruh datang ke bank bni terdekat tapi adminnya PP nya anime.,1
2024-11-17T15:28:59Z,@Zen_Parsya,😱😱😱😱,0
2024-11-17T15:14:32Z,@viniatarisia2244,LUCUNYAAAAAA,0
2024-11-17T14:54:08Z,@ginkitsune990,"Btw studio mana yang garap ya, adakah yang tahu?",1
2024-11-17T17:15:24Z,@aliffadhilrizqi2061,dipin komen,0
2024-11-17T14:49:48Z,@Asep13475,Keren,0
2024-11-17T13:38:19Z,@logia1102,let him cook dawg,0
2024-11-17T13:36:26Z,@rzdfairy,Better than blue lock,2
2024-11-17T12:59:50Z,@Lord.of.Kazuma-Desu.,"KEREEEEN!  lanjut bang. Seru banget sumpah, Karna ini saya dowload BNI",2
2024-11-17T12:30:18Z,@Ambasing1223,Alamak bank nichijou wak 🥶🥶🥶🥶,1
2024-11-17T12:13:56Z,@Wiillpac,That was the only ad that I chose to not skip :),1
2024-11-17T11:20:15Z,@IzhuRu05,Krna ini gua bakal buka rekening BNI,0
2024-11-17T11:19:27Z,@akuzaky.2435,Sangat luar biasa meski aku pakai BCA Ama mandiri kedepannya bakal buka BNI 😅,0
2024-11-17T10:25:41Z,@SNWN203,1.5 juta bjir kaya raya cok padahal cuma pgn 30 ribu,1
2024-11-19T04:56:12Z,@KouAlwaysSmile,Niat si kakek mw ngirim 150k cmn 0 nya kelebihan satu :v,1
2024-11-17T09:55:05Z,@Rey2-7,Kita dapat anime BNI sebelum gta 6🗣️,0
2024-11-17T08:09:41Z,@naufalkamil8823,Absolute cinema,0
2024-11-17T07:50:09Z,@AzharMaliki,Kakeknya mirip presiden ke dua kalo aku nyebut langsung hilang,0
2024-11-17T07:53:32Z,@luluskuy,"<b>teng teng teng</b><br><b>berhenti</b><br>Bang, mau beli bakso?",0
2024-11-17T07:33:25Z,@LavaDC,bagus banget,0
2024-11-17T05:12:04Z,@webcore2004,gyaatdamn aku makai bni buat rekening bwang,2
2024-11-17T04:13:15Z,@historyan23,Iklan nya gemes banget☺️☺️☺️,1
2024-11-17T04:11:26Z,@Yanncoolbets,💯💯💯💯💯🔥🔥🔥🔥🔥,0
2024-11-17T03:30:38Z,@kiwoxgen9929,"Jadi ingat Danshi Koukousei no Nichijou 😅<br>Pas ngantri dah berderet aja, bedanya ini kasirnya Pro 🤣<br>Klo magang y fix ribet cari manager dulu",2
2024-11-17T03:15:16Z,@secret-qb8uu,Animasi nya😲😲😲😲😲,1
2024-11-17T01:44:15Z,@rifaijuliantoro6085,😁😊,0
